Method,D,V,M,L,HT
Lopi,0.18354286644304496,0.0876489854434561,-0.3003616259005657,0.3974270134716951,29.180177719024478
Lopi,0.06586993143680153,0.07837249886686769,-0.30488857216345555,0.3581041119781269,44.758031201510654
Lopi,-0.5140936566105895,0.12329138647632257,-0.038697159604405625,0.21064415114050725,47.80803324801325
Lopi,-0.4642792282791406,0.09342245233136182,-0.1943675515914895,0.2299181007152821,52.55287231287958
Lopi,-0.28220062436210536,0.1571482585669171,-0.12464419226005757,0.5013744552200889,23.918699609754874
Lopi,-0.1688156183046097,0.03373989157727591,-0.20283240571875652,0.22776629451769909,39.95406160891357
Lopi,0.11152460977394577,0.115261713293953,-0.18054010856005462,0.4600044147650484,50.85901648262716
Lopi,-0.5620408787889912,0.23752316110651722,-0.19657800549285526,0.4613093108486573,24.801601776280556
Lopi,-0.12266895510771957,0.26320786871066615,-0.025745396699968375,0.4958948873663294,28.746178989065616
Lopi,-0.442284254036017,0.11141416846383763,-0.19273539584849783,0.46591719610765386,40.074166940799955
Lopi,-0.3683937119008137,0.1125667123089968,-0.33238769444169886,0.4221003314245845,58.43288661475785
Lopi,0.10223737807156644,0.11818858252895337,-0.37594553281070153,0.2342195538128142,43.508438691636485
Lopi,-0.6347696682832555,0.012106069594320337,0.05195015558901507,0.3714856216479062,39.501731792132475
Lopi,-0.3075697848989416,0.012752874449361096,-0.17918083212312713,0.31590383534430544,44.393112138352215
Lopi,0.22604361444400337,0.05969797836516475,-0.21269468138821332,0.18565010917132388,45.568505787633676
Lopi,0.31585476367954113,0.04788447088184235,-0.22561360518467458,0.3611351859337461,33.769765734950795
Lopi,-0.3667154762230947,0.2054899278874483,-0.34609221300494697,0.31735225266954403,49.6317863194976
Lopi,-0.48455091858212473,0.06229797608101308,-0.11465406520869911,0.37175235680223023,33.54612787553756
Lopi,0.11581251413664681,0.15140929686478916,-0.19801731611207124,0.47482207369510054,34.60446436241493
Lopi,-0.09549909611883564,0.054563991798786994,-0.3110178712491895,0.4377042732939169,34.30372405410472
Lopi,-0.08320402225389525,0.22674600858647537,-0.20169265838350142,1.0795170459038494,69.39359189190981
Lopi,-0.4962058036670795,0.013385888740982222,-0.18290157369299112,0.39848221368600406,34.58608321311218
Lopi,-0.26393425274873233,0.4073954146986309,-0.1116132798958053,0.7073578428022897,70.92998900924482
Lopi,0.06331441367585797,0.013854745447640532,-0.1546567320582419,0.3368585044372117,33.29911077937122
Lopi,-0.47246770020446915,0.07496782331541726,-0.05133425944087988,0.5365981500651426,32.167592095306354
Lopi,-0.37997973491438786,0.2610830341504593,-0.24499874514976494,0.5988325117699848,69.52382813830997
Lopi,-0.4607552071705598,0.009471701907920241,-0.4823853289937822,0.3582437908458333,34.06260721118449
Lopi,0.38039602858950555,0.12676055989597712,-0.24488088853603862,0.6173431247888067,68.97899557536154
Lopi,-0.21866774286908858,0.12598171319951354,-0.28422413634932714,0.5115047470807624,35.31282681503883
Lopi,0.24651996901834644,0.0454854799452402,-0.18701846157798138,0.399703828283109,54.23931061173899
Lopi,-0.33497903173433946,0.04526384043407738,-0.2310512153196435,0.1812700308443266,48.14411696596312
Lopi,0.46411609677239424,0.13822334558575056,-0.22779654423421755,0.5980720562693647,60.22823120280794
Lopi,0.23230837060809345,0.21599067933704572,-0.08191239930198634,0.4794153988890511,43.33417538059005
Lopi,0.1399130776538446,0.06439431251230929,-0.3862915893572092,0.18866998411936756,40.81232870136118
Lopi,-0.1845742012161413,0.04506425921259728,-0.3309958827617165,0.3673679390887988,37.142292785915814
Lopi,-0.0808954945535924,0.2271816134216682,-0.12174416177291675,0.34973672654391286,48.6626075800618
Lopi,-0.3553990107967547,0.011580960623590836,-0.2619584900158284,0.3215300751621801,41.281657671641575
Lopi,-0.31151713996216157,0.05940667665505152,-0.2724756472251145,0.31407080223207273,36.295963191261855
Lopi,-0.12995895335143434,0.11053419198936724,-0.3316128210921161,0.4395660444665038,39.07970605642318
Lopi,-0.19966581727051655,0.11007284742408188,-0.19422044091457147,0.3268723482812065,39.46160025801619
Lopi,-0.4651431878797706,0.04311687635300047,-0.19235412101964858,0.42022098151569026,32.01534477434385
Lopi,-0.6301143794042501,0.053071667836857864,-0.28892680152741995,0.438050664554633,28.11541674687063
Lopi,-0.14917153577677256,0.1122787474081289,-0.2545254550520233,0.36511131182653117,50.25035233160261
Lopi,-0.054495769929223274,0.09001026820277826,-0.1460386620330174,0.42418710764918444,29.103601802648008
Lopi,-0.12279673867496677,0.05442482995884705,-0.2972454225273016,0.31604997234340343,38.68620220346391
Lopi,0.04388414162229932,0.1086604289397481,-0.1294331506210483,0.4471821102425996,27.040865106939727
Lopi,-0.31722955255768154,0.2179380267176004,-0.35254091294591366,0.39245403568905834,54.26774437626329
Lopi,0.09818638849568606,0.09822268821135169,-0.33801932702927834,0.2615097285605988,33.79738063828882
Lopi,0.21054137903149722,0.09471233243208291,-0.2389590587402631,0.633904124773452,63.47743373151374
Lopi,0.3702826283967479,0.08301601683279787,-0.17641171257123647,1.2463690734774686,93.91282303528742
Lopi,0.11352936587266058,0.0711039867509979,-0.11613410975938847,0.3873572503584843,29.106005282677966
Lopi,0.4165552926450817,0.13105213653865597,-0.22097472542916105,0.29380072476432023,46.17963677938007
Lopi,0.25620629529762906,0.21510618282219235,0.09046354659887375,1.9722618083497006,29.005240615903286
Lopi,-0.18470123804956354,0.14178367857217342,-0.1510077668664632,1.2576669116351553,92.89209092260076
Lopi,-0.16890756719620487,0.06723413968420291,-0.0876403315753727,0.1791139731425046,42.628881537732546
Lopi,-0.12683951610619126,0.131121928976227,-0.13195676157018152,0.62134625247299,66.97648100324388
